"id","ticket_id","alert_id","full_log","description","suggestion","is_created"
28,NULL,"1715096752.1110443488","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details are as follows:

- Alert ID: 1715096752.1110443488
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Affected Agent: (056) - DC
- Rule ID: 92151
- MITRE ID: T1059.001
- MITRE Tactic: Execution
- MITRE Technique: PowerShell

Immediate Actions Required:
1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved.
2. Check the user context under which the PowerShell was executed to ascertain if it was authorized.
3. Review the system and security logs around the time of the alert to identify any related suspicious activity.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities.
5. Perform a detailed forensic analysis on the affected system to determine the scope of the incident.
6. Update and enforce security policies to restrict unauthorized use of PowerShell across the network.",False
29,NULL,"1715098500.11598962","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on the agent identified as '(056) - DC'. This activity is associated with the MITRE ID T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions are required to investigate and mitigate potential threats. Steps include: 1. Verify the legitimacy of the script execution by reviewing the command history and context of usage. 2. Identify the user account that initiated the command and check for any recent unauthorized access or anomalies associated with this account. 3. Examine related logs and alerts in WAZUH and other security tools to detect similar or related suspicious activities. 4. Isolate the affected system to prevent further unauthorized activities while conducting the investigation. 5. Update PowerShell execution policies to restrict script execution and enhance monitoring of PowerShell activities.",False
496,NULL,"1715235884.62497533","May  9 14:24:44 OPNsense-ICS.localdomain filterlog[79739]: 9\,\,\,02f4bab031b57d1e30553ce08e0ec131\,vtnet1\,match\,block\,in\,4\,0x0\,\,64\,54485\,0\,none\,17\,udp\,81\,192.168.172.19\,8.8.8.8\,52241\,53\,61","Duplicate case","This Wazuh alert relates to Cydarm case number [9C7779].",False
30,NULL,"1715098552.12229700","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details a binary-loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with the MITRE ID T1059.001\, which pertains to the Execution tactic and PowerShell technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check for any recent changes or updates made to the PowerShell scripts or environment settings. 3. Review the security logs for any unauthorized access or anomalous activities around the time of the alert. 4. Isolate the affected system to prevent any potential spread or escalation of the issue. 5. Conduct a thorough investigation to determine the source and intent of the execution\, involving checking network logs for any external connections made during the time frame. 6. Update and enforce security policies to restrict unauthorized PowerShell executions in the future.",False
31,NULL,"1715100300.35249899","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Detected PowerShell Script Execution on Domain Controller","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script on the Domain Controller (Agent 056 - DC). This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the authenticity of the PowerShell script execution by reviewing the command history and script contents.
2. Check the user accounts that executed the script\, especially focusing on any recent or unusual logins or permission changes.
3. Analyze network traffic to and from the Domain Controller around the time of the alert to identify any suspicious data transfers or connections.
4. Review all system and security logs for any related events that could indicate lateral movement or further execution of unauthorized commands.
5. Implement strict monitoring on the Domain Controller to detect further suspicious activities.
6. If malicious intent is confirmed\, isolate the affected system to prevent further impact and conduct a thorough forensic analysis to understand the scope of the breach.
7. Update firewall and intrusion detection system rules to block known malicious IP addresses and command-and-control servers identified during the investigation.",False
32,NULL,"1715100352.35824250","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security incident involving unmanaged PowerShell execution. The alert details are as follows:

- Alert ID: 1715100352.35824250
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Agent: (056) - DC
- Rule: 92151
- MITRE ID: T1059.001
- Tactic: Execution
- Technique: PowerShell

Immediate Actions Required:
1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments.
2. Check the user context under which the PowerShell was executed to ascertain if it was authorized.
3. Review the system and application logs around the time of the alert to identify any related events or anomalies.
4. Isolate the affected system to prevent potential lateral movement or further unauthorized activities.
5. Perform a detailed forensic analysis on the affected system to determine the scope of the incident.
6. Update the security incident response team with findings and progress for coordinated response actions.",False
33,NULL,"1715102153.59661053","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details a binary-loaded PowerShell automation library executed by a suspicious process on Agent (056) - DC. This activity is associated with MITRE ID T1059.001\, which pertains to the execution tactic\, specifically using PowerShell. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis to determine the origin of the execution and assess any potential impact. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",False
34,NULL,"1715102160.59839413","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent identified as '(056) - DC'. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the legitimacy of the PowerShell script execution by reviewing the script content and the context in which it was executed.
2. Check the user account under which the PowerShell was executed for any signs of compromise or unauthorized access.
3. Analyze logs for any anomalous activities or commands that were executed before and after the alert was triggered.
4. Isolate the affected system to prevent any lateral movement or further unauthorized activities.
5. Conduct a thorough scan of the system using updated antivirus and anti-malware tools to detect any related malicious software or scripts.
6. Review and strengthen security policies and controls around the use of administrative privileges and script execution.",False
35,NULL,"1715103951.83128323","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving unmanaged PowerShell execution. The alert details are as follows:

- Alert ID: 1715103951.83128323
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Agent: (056) - DC
- Rule: 92151
- MITRE ID: T1059.001
- Tactic: Execution
- Technique: PowerShell

Immediate actions recommended:
1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments.
2. Check the user account under which the PowerShell was executed to ascertain if it was authorized.
3. Review logs for any prior unusual activity associated with this agent or user accounts involved.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities.
5. Conduct a full system scan to ensure no other malicious activities or payloads are present.
6. Update and enforce system and network-level security policies to restrict unauthorized use of PowerShell.
7. Notify the cybersecurity incident response team to initiate a detailed investigation and remediation plan.",False
497,NULL,"1715236017.64640997","Executable file dropped in folder commonly used by malware","Duplicate case","This Wazuh alert relates to Cydarm case number [63LTUF].",False
36,NULL,"1715103960.83301320","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","PowerShell Script Execution Detected","A WAZUH alert has been triggered indicating the use of a PowerShell script on the domain controller (Agent 056 - DC). The script utilized the 'Invoke-command' cmdlet to execute a sub-script. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions are required to investigate and mitigate potential security threats. Steps include: 1. Review the PowerShell execution logs to identify the commands executed and determine the scope of the script's actions. 2. Verify the integrity and legitimacy of the script's source and purpose. 3. Assess the impact on the system and network to check for any unauthorized changes or data exfiltration. 4. Update or implement detection rules in WAZUH to monitor similar PowerShell activities. 5. Conduct a thorough security audit on the domain controller to ensure no residual threats remain.",False
37,NULL,"1715105821.107832867","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which describes techniques involving the execution of PowerShell scripts. This could potentially be a security breach as PowerShell is often used by attackers to execute commands remotely. Immediate actions required include: 1. Review the PowerShell execution policy and audit settings on the affected DC agent to ensure they are configured to log detailed information about script executions. 2. Examine the PowerShell logs for any commands that were executed recently to identify potentially malicious scripts or commands. 3. Check for any new\, unknown\, or unauthorized accounts created on the system\, as these could indicate further compromise. 4. Isolate the affected system from the network to prevent any lateral movement or further unauthorized activities. 5. Perform a full system scan using updated antivirus and anti-malware software to detect and remove any associated threats. 6. Review and update all security policies and incident response protocols to address and mitigate the impact of such incidents.",False
38,NULL,"1715105997.109898560","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. The associated MITRE ID for this activity is T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the process path and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis on the affected system to determine the origin\, scope\, and impact of the execution. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar threats in the future.",False
39,NULL,"1715107620.131302031","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell to execute a script. This activity was detected on agent (056) - DC\, associated with rule 91822. The MITRE framework identifies this as Technique T1059.001 under the Tactic 'Execution'. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the command and script content. 2. Check the user account that initiated the command for any signs of compromise or unauthorized access. 3. Review logs for any prior unusual activity associated with this agent or user accounts. 4. Isolate the affected system to prevent any potential spread or further unauthorized actions. 5. Conduct a full system scan for malware or other malicious tools. 6. Update and enforce endpoint security measures to detect and mitigate similar attempts.",False
40,NULL,"1715107798.133396938","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. The associated MITRE ID for this activity is T1059.001\, categorized under the 'Execution' tactic with the 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Perform a detailed forensic analysis to determine the origin of the execution and assess any potential breach or data exfiltration. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",False
41,NULL,"1715109480.155985062","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent identified as '(056) - DC'. This activity is associated with the MITRE technique T1059.001\, which falls under the 'Execution' tactic. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing the associated PowerShell script and its origin. 2. Analyze the command and parameters used in the 'Invoke-command' cmdlet for any malicious intent. 3. Check the user account under which the PowerShell was executed to assess whether it has been compromised. 4. Review logs for any prior unusual activity associated with this agent or user accounts. 5. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions. 6. Update and enforce endpoint detection and response (EDR) rules to detect similar activities in the future.",False
54,NULL,"1715120403.298945229","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on agent (056) - DC. This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, under the tactic 'Execution' and the technique 'PowerShell'. Immediate actions required include: 1. Verify the legitimacy of the script execution context and the user initiating it. 2. Review the command and script contents executed by the 'Invoke-command' cmdlet for any malicious intent or unauthorized operations. 3. Check the PowerShell logs for any preceding or subsequent suspicious commands or scripts. 4. Assess the scope of the execution to determine if it has affected other systems or data. 5. Implement stricter execution policies for scripts\, especially those involving critical system configurations or sensitive data access.",False
42,NULL,"1715109634.158024764","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, which suggests possible unmanaged and suspicious PowerShell activity. The affected agent is identified as (056) - DC. This activity is associated with MITRE ID T1059.001\, categorized under the 'Execution' tactic and 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the associated process and command line arguments. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized actions. 4. Perform a detailed forensic analysis to determine the source and intent of the execution. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar attempts in the future.",False
43,NULL,"1715111281.179235030","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in a PowerShell script\, executed from the agent identified as '(056) - DC'. This activity is associated with the MITRE ID T1059.001\, which falls under the 'Execution' tactic and specifically relates to the 'PowerShell' technique. Immediate actions are required to investigate and mitigate potential threats:

1. Verify the legitimacy of the PowerShell script execution by reviewing the associated script and command context.
2. Check the user account under which the PowerShell was executed for any signs of compromise or unauthorized access.
3. Review logs for any other suspicious activities or commands executed around the same time.
4. Assess the scope of access and potential data or system modifications made through the PowerShell session.
5. Update or reinforce detection rules in WAZUH to capture similar future attempts more effectively.",False
44,NULL,"1715111451.181172066","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details are as follows:

- Alert ID: 1715111451.181172066
- Description: Binary loaded PowerShell automation library - Possible unmanaged PowerShell execution by suspicious process
- Affected Agent: (056) - DC
- Rule: 92151
- MITRE ID: T1059.001
- Tactic: Execution
- Technique: PowerShell

Immediate Actions Required:
1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved.
2. Check the user context under which the PowerShell was executed to ascertain if it was authorized.
3. Review the system and security logs around the time of the alert to identify any related anomalous activities.
4. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities.
5. Perform a detailed forensic analysis on the affected system to determine the scope of the incident.
6. Update and enforce security policies to restrict unauthorized use of PowerShell across the network.",False
45,NULL,"1715112916.201061736","Executable file dropped in folder commonly used by malware","Executable File Dropped in Malware-Common Folder","A WAZUH alert has been triggered indicating a security incident involving the dropping of an executable file in a directory commonly used by malware. The alert details are as follows: the affected agent is labeled as (056) - DC\, and the rule triggered is 92213. This activity is associated with the MITRE ID T1105\, which pertains to the tactic 'Command and Control' and the technique 'Ingress Tool Transfer'. Immediate actions required include: 1. Isolate the affected system to prevent any potential spread or further control by unauthorized entities. 2. Initiate a thorough scan of the affected system using updated antivirus and anti-malware software to identify and remove any malicious files. 3. Review and analyze firewall and network logs to identify any unusual activity or connections that may have occurred around the time of the incident. 4. Update all security systems and software on the network to the latest versions to protect against known vulnerabilities. 5. Conduct a detailed investigation to determine the source of the executable file and assess any data or system integrity issues.",False
46,NULL,"1715113080.202868186","Powershell script used \""Invoke-command\"" cmdlet to execute sub script","Suspicious PowerShell Activity Detected","A WAZUH alert has been triggered indicating the use of the 'Invoke-command' cmdlet in PowerShell\, which was executed on the domain controller (Agent 056 - DC). This activity is associated with rule 91822 and is linked to MITRE ID T1059.001\, which describes techniques involving the execution of PowerShell scripts. This could potentially be a part of unauthorized or malicious activities within the network. Immediate actions required include: 1. Verify the legitimacy of the script execution by reviewing associated user accounts and their recent activities. 2. Examine the PowerShell script contents to determine its function and target. 3. Check for any changes made by the script in system settings or files. 4. Review logs for any other suspicious activities correlated with this event. 5. Update security measures to restrict unauthorized PowerShell executions.",False
47,NULL,"1715113252.204842064","Binary loaded PowerShell automation library - Possible unmanaged Powershell execution by suspicious process","Suspicious PowerShell Execution Detected","A WAZUH alert has been triggered indicating a potential security threat involving PowerShell execution. The alert details a binary-loaded PowerShell automation library\, suggesting possible unmanaged PowerShell execution by a suspicious process on Agent (056) - DC. The associated MITRE ID for this activity is T1059.001\, categorized under the 'Execution' tactic with the 'PowerShell' technique. Immediate actions required include: 1. Verify the legitimacy of the PowerShell execution by reviewing the process and command line arguments involved. 2. Check the system logs for any recent unauthorized administrative activities or unusual executions. 3. Isolate the affected system to prevent any potential lateral movement or further unauthorized activities. 4. Conduct a thorough investigation of the system to identify any changes made by the suspicious process. 5. Update and enforce endpoint detection and response (EDR) rules to detect and mitigate similar threats in the future.",False
498,NULL,"1715236130.65990473","May  9 14:28:50 OPNsense-ICS.localdomain filterlog[79739]: 9\,\,\,02f4bab031b57d1e30553ce08e0ec131\,vtnet1\,match\,block\,in\,4\,0x0\,\,64\,35622\,0\,none\,17\,udp\,81\,192.168.172.19\,8.8.8.8\,58662\,53\,61","Duplicate case","This Wazuh alert relates to Cydarm case number [9C7779].",False
499,NULL,"1715236373.69615878","May  9 14:32:53 OPNsense-ICS.localdomain filterlog[79739]: 9\,\,\,02f4bab031b57d1e30553ce08e0ec131\,vtnet1\,match\,block\,in\,4\,0x0\,\,64\,9815\,0\,DF\,6\,tcp\,60\,192.168.172.19\,192.168.127.55\,53830\,1514\,0\,S\,3360805401\,\,64240\,\,mss;sackOK;TS;nop;wscale","Duplicate case","This Wazuh alert relates to Cydarm case number [XY9PV3].",False
